locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Szczecin Podjuchy,ul. Smocza,3,118,990000,8390,Bez pośredników,ponad miesiąc temu,24,https://adresowo.pl/o/mieszkanie-szczecin-podjuchy-ul-smocza-3-pokojowe-x2a8y4,https://s2.adresowa.pl/oi/2f/32/39c678_ae71_cover-3-pokojowe-mieszkanie-szczecin-podjuchy-ul-smocza.jpg
Szczecin Pomorzany,ul. Boryny,3,53,525200,9915,Bez pośredników,dzisiajnowe,9,https://adresowo.pl/o/mieszkanie-szczecin-pomorzany-ul-boryny-3-pokojowe-r2q4c7,https://s2.adresowa.pl/oi/10/57/3a3eca_72c8_cover-3-pokojowe-mieszkanie-szczecin-pomorzany-ul-boryny.jpg
Szczecin Pomorzany,ul. 9 Maja,1,29,339000,11511,Bez pośredników,dzisiajnowe,6,https://adresowo.pl/o/mieszkanie-szczecin-pomorzany-ul-9-maja-1-pokoj-z0v3h2,https://s2.adresowa.pl/oi/56/29/3a82dc_62d6_cover-1-pokojowe-mieszkanie-szczecin-pomorzany-ul-9-maja.jpg
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/szczecin/centrum-U/,
Szczecin Centrum,ul. Ofiar Oświęcimia,2,37,390000,10541,Bez pośredników,wczoraj,18,https://adresowo.pl/o/mieszkanie-szczecin-centrum-ul-ofiar-oswiecimia-2-pokojowe-u0r1y9,https://s2.adresowa.pl/oi/56/54/3a81a6_cfc8_cover-2-pokojowe-mieszkanie-szczecin-centrum-ul-ofiar-oswiecimia.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Szczecin,ul. Jerzego Andrzejewskiego,2,57,469000,8174,Oferta biura nieruchomości,3 dni temu,9,https://adresowo.pl/o/mieszkanie-szczecin-ul-jerzego-andrzejewskiego-2-pokojowe-z2i2c1,https://s2.adresowa.pl/oi/62/2b/3a7fa8_3f6e_cover-2-pokojowe-mieszkanie-szczecin-ul-jerzego-andrzejewskiego.jpg
Szczecin,ul. Bartnicza,4,70,720000,10317,Oferta biura nieruchomości,3 dni temu,50,https://adresowo.pl/o/mieszkanie-szczecin-ul-bartnicza-4-pokojowe-f9g1o0,https://s2.adresowa.pl/oi/5e/3e/3a7b4a_dba5_cover-4-pokojowe-mieszkanie-szczecin-ul-bartnicza.jpg
Szczecin Śródmieście,ul. Celna,1,32,598000,18688,Bez pośredników,3 dni temu,10,https://adresowo.pl/o/mieszkanie-szczecin-srodmiescie-ul-celna-1-pokoj-l6k8v4,https://s2.adresowa.pl/oi/7f/2d/3a7d6a_5497_cover-1-pokojowe-mieszkanie-szczecin-srodmiescie-ul-celna.jpg
